event_id,panelist_id,event_date,event_type,risk_score
50,76,2026-08-06,panel_fatigue_flag,0.16
51,77,2026-08-13,equipment_failure,0.64
52,77,2026-07-25,non_response,0.93
53,77,2026-08-20,complaint,0.68
54,77,2026-08-02,equipment_failure,0.63
55,78,2026-07-04,complaint,0.23
56,80,2026-07-28,non_response,0.07
57,85,2026-08-23,complaint,0.24
58,88,2026-07-22,panel_fatigue_flag,0.81
59,88,2026-08-19,equipment_failure,0.62
60,89,2026-07-02,equipment_failure,0.16
61,90,2026-08-20,panel_fatigue_flag,0.1
62,96,2026-08-01,non_response,0.34
63,97,2026-07-23,panel_fatigue_flag,0.56
64,100,2026-07-28,non_response,0.35
65,102,2026-08-13,panel_fatigue_flag,0.58
66,102,2026-07-06,equipment_failure,0.89
67,102,2026-08-21,non_response,0.71
68,102,2026-08-15,complaint,0.55
69,102,2026-07-06,equipment_failure,0.85
70,103,2026-07-10,panel_fatigue_flag,0.21
71,106,2026-08-15,non_response,0.25
72,109,2026-08-17,panel_fatigue_flag,0.13
73,116,2026-07-21,equipment_failure,0.56
74,116,2026-07-07,complaint,0.8
75,116,2026-07-01,equipment_failure,0.85
76,117,2026-07-29,equipment_failure,0.09
77,118,2026-08-18,equipment_failure,0.2
78,120,2026-07-07,non_response,0.25
79,122,2026-07-06,non_response,0.34
80,123,2026-07-28,panel_fatigue_flag,0.54
81,124,2026-08-05,panel_fatigue_flag,0.35
82,128,2026-07-07,complaint,0.52
83,131,2026-07-06,equipment_failure,0.93
84,131,2026-08-05,complaint,0.64
85,133,2026-08-08,equipment_failure,0.14
86,134,2026-08-25,panel_fatigue_flag,0.28
87,135,2026-07-01,equipment_failure,0.18
88,136,2026-07-27,panel_fatigue_flag,0.3
89,137,2026-08-19,complaint,0.22
90,138,2026-08-16,non_response,0.17
91,140,2026-08-06,non_response,0.78
92,140,2026-08-13,panel_fatigue_flag,0.92
93,146,2026-07-11,non_response,0.36
94,147,2026-07-18,equipment_failure,0.09
95,149,2026-07-18,panel_fatigue_flag,0.08
96,150,2026-07-10,complaint,0.87
97,150,2026-07-11,panel_fatigue_flag,0.7
98,152,2026-07-18,panel_fatigue_flag,0.99
99,152,2026-07-20,panel_fatigue_flag,0.73
100,152,2026-08-20,complaint,0.52
101,152,2026-07-24,equipment_failure,0.67
102,155,2026-07-16,panel_fatigue_flag,0.14
103,155,2026-08-08,non_response,0.17
104,157,2026-07-30,complaint,0.59
105,157,2026-07-09,equipment_failure,0.97
106,157,2026-07-01,panel_fatigue_flag,0.57
107,157,2026-07-22,panel_fatigue_flag,0.66
108,159,2026-08-21,equipment_failure,0.69
109,160,2026-07-29,equipment_failure,0.24
110,161,2026-07-28,non_response,0.2
111,168,2026-07-20,equipment_failure,0.27
112,169,2026-08-08,non_response,0.72
113,169,2026-07-31,equipment_failure,0.98
114,169,2026-07-12,panel_fatigue_flag,0.65
115,169,2026-07-21,equipment_failure,0.76
116,173,2026-08-17,panel_fatigue_flag,0.36
117,175,2026-08-06,non_response,0.64
118,175,2026-07-21,panel_fatigue_flag,0.87
119,175,2026-07-18,panel_fatigue_flag,0.53
120,176,2026-07-24,complaint,0.3
121,177,2026-08-29,non_response,0.11
122,178,2026-08-07,non_response,0.06
123,181,2026-08-13,complaint,0.23
124,181,2026-08-16,panel_fatigue_flag,0.14
125,183,2026-08-15,non_response,0.07
126,185,2026-07-29,equipment_failure,0.05
127,186,2026-08-23,complaint,0.15
128,187,2026-08-22,panel_fatigue_flag,0.22
129,188,2026-08-13,panel_fatigue_flag,0.36
130,188,2026-07-09,equipment_failure,0.24
131,190,2026-07-16,equipment_failure,0.2
132,192,2026-08-12,non_response,0.06
133,196,2026-08-15,panel_fatigue_flag,0.29
134,197,2026-08-20,panel_fatigue_flag,0.28
135,198,2026-07-05,panel_fatigue_flag,0.59
136,198,2026-08-08,panel_fatigue_flag,0.96
137,198,2026-08-07,panel_fatigue_flag,0.99
138,200,2026-08-04,panel_fatigue_flag,0.11
139,202,2026-08-04,complaint,0.09
140,202,2026-08-20,equipment_failure,0.35
141,205,2026-08-14,complaint,0.15
142,205,2026-07-07,non_response,0.14
143,208,2026-08-12,equipment_failure,0.15
144,212,2026-07-11,complaint,0.25
145,218,2026-08-06,panel_fatigue_flag,0.27
146,232,2026-08-18,equipment_failure,0.92
147,233,2026-08-20,panel_fatigue_flag,0.3
148,235,2026-07-07,complaint,0.06
149,237,2026-07-07,equipment_failure,0.71
150,237,2026-07-15,non_response,0.79
151,237,2026-07-29,equipment_failure,0.7
152,237,2026-07-26,panel_fatigue_flag,0.86
153,245,2026-08-19,non_response,0.66
154,245,2026-07-23,complaint,0.55
155,245,2026-07-31,complaint,0.86
156,245,2026-07-19,panel_fatigue_flag,0.64
157,246,2026-08-28,complaint,0.58
158,246,2026-07-08,non_response,0.89
159,254,2026-07-23,equipment_failure,0.75
160,254,2026-07-22,panel_fatigue_flag,0.95
161,258,2026-08-20,non_response,0.29
162,261,2026-08-03,panel_fatigue_flag,0.7
163,261,2026-07-23,panel_fatigue_flag,0.97
164,261,2026-07-07,panel_fatigue_flag,0.55
165,262,2026-08-16,panel_fatigue_flag,0.94
166,262,2026-07-21,complaint,0.93
167,264,2026-07-20,complaint,0.17
168,268,2026-08-21,complaint,0.27
169,272,2026-07-02,equipment_failure,0.15
170,275,2026-08-11,complaint,0.2
171,277,2026-08-13,non_response,0.75
172,281,2026-08-29,non_response,0.92
173,281,2026-08-03,non_response,0.57
174,285,2026-08-05,non_response,0.74
175,285,2026-07-22,panel_fatigue_flag,0.87
176,286,2026-07-30,non_response,0.2
177,287,2026-08-21,panel_fatigue_flag,0.31
178,288,2026-08-10,non_response,0.9
179,288,2026-07-12,panel_fatigue_flag,0.54
180,288,2026-07-26,complaint,0.7
181,288,2026-08-17,non_response,0.68
182,292,2026-07-29,panel_fatigue_flag,0.39
183,294,2026-07-25,complaint,0.78
184,294,2026-08-15,non_response,0.84
185,294,2026-07-14,equipment_failure,0.94
186,296,2026-08-18,complaint,0.07
187,297,2026-08-06,complaint,0.27
188,299,2026-08-21,non_response,0.17
189,300,2026-07-24,equipment_failure,0.91
190,300,2026-07-13,panel_fatigue_flag,0.98
191,300,2026-07-08,equipment_failure,0.71
192,301,2026-08-12,panel_fatigue_flag,0.11
193,303,2026-08-03,equipment_failure,0.06
194,303,2026-08-08,panel_fatigue_flag,0.4
195,306,2026-08-09,panel_fatigue_flag,0.13
196,307,2026-08-07,complaint,0.17
197,310,2026-07-23,equipment_failure,0.08
198,310,2026-08-24,panel_fatigue_flag,0.09
199,311,2026-08-09,non_response,0.34
200,318,2026-08-22,equipment_failure,0.94
201,318,2026-08-28,complaint,0.56
202,325,2026-08-13,non_response,0.25
203,326,2026-07-21,complaint,0.6
204,326,2026-07-16,equipment_failure,0.65
205,329,2026-07-08,non_response,0.3
206,330,2026-07-24,non_response,0.28
207,330,2026-08-02,panel_fatigue_flag,0.34
208,332,2026-07-27,non_response,0.91
209,332,2026-08-06,panel_fatigue_flag,0.65
210,332,2026-07-28,non_response,0.67
211,332,2026-08-01,non_response,0.91
212,333,2026-08-05,non_response,0.29
213,335,2026-08-01,equipment_failure,0.39
214,335,2026-07-09,non_response,0.21
215,335,2026-07-21,panel_fatigue_flag,0.29
216,336,2026-08-09,complaint,0.68
217,336,2026-08-25,equipment_failure,0.89
218,340,2026-07-01,panel_fatigue_flag,0.57
219,341,2026-07-09,non_response,0.74
220,341,2026-08-22,panel_fatigue_flag,0.97
221,342,2026-08-05,panel_fatigue_flag,0.2
222,344,2026-07-27,panel_fatigue_flag,0.15
223,345,2026-07-27,panel_fatigue_flag,0.34
224,345,2026-08-01,non_response,0.26
225,347,2026-07-06,complaint,0.73
226,347,2026-08-20,non_response,0.57
227,347,2026-07-19,complaint,0.51
228,355,2026-07-18,non_response,0.2
229,356,2026-08-04,equipment_failure,0.69
230,356,2026-07-11,panel_fatigue_flag,0.96
231,356,2026-08-06,panel_fatigue_flag,0.7
232,356,2026-08-05,complaint,0.82
233,356,2026-08-06,complaint,0.91
234,356,2026-07-18,equipment_failure,0.73
235,359,2026-08-04,complaint,0.16
236,359,2026-08-18,panel_fatigue_flag,0.09
237,361,2026-08-04,non_response,0.22
238,361,2026-07-28,complaint,0.34
239,362,2026-08-17,non_response,0.98
240,362,2026-07-20,complaint,0.64
241,362,2026-07-29,equipment_failure,0.67
242,366,2026-07-23,complaint,0.14
243,367,2026-07-29,complaint,0.1
244,370,2026-08-19,non_response,0.33
245,372,2026-07-14,equipment_failure,0.33
246,372,2026-08-25,panel_fatigue_flag,0.16
247,373,2026-07-11,non_response,0.18
248,374,2026-08-20,non_response,0.32
249,375,2026-08-22,non_response,0.35
250,376,2026-08-21,complaint,0.32
251,380,2026-08-06,equipment_failure,0.14
252,384,2026-08-04,equipment_failure,0.33
253,388,2026-08-08,non_response,0.74
254,389,2026-07-21,equipment_failure,0.94
255,389,2026-07-19,equipment_failure,0.85
256,393,2026-08-24,complaint,0.32
257,394,2026-07-09,panel_fatigue_flag,0.06
258,397,2026-08-28,complaint,0.36
259,398,2026-07-18,non_response,0.26
260,399,2026-08-14,non_response,0.32
261,404,2026-07-16,non_response,0.2
262,408,2026-08-15,equipment_failure,0.34
263,411,2026-08-23,non_response,0.84
264,411,2026-08-18,panel_fatigue_flag,0.52
265,413,2026-08-01,non_response,0.99
266,413,2026-08-06,equipment_failure,0.89
267,413,2026-08-10,panel_fatigue_flag,0.8
268,413,2026-07-25,panel_fatigue_flag,0.73
269,413,2026-07-05,complaint,0.55
270,416,2026-07-26,equipment_failure,0.19
271,419,2026-08-14,equipment_failure,0.29
272,420,2026-07-30,panel_fatigue_flag,0.79
273,424,2026-07-21,complaint,0.39
274,430,2026-08-25,complaint,0.23
275,431,2026-08-16,panel_fatigue_flag,0.34
276,434,2026-08-10,equipment_failure,0.39
277,435,2026-08-24,complaint,0.29
278,443,2026-08-20,panel_fatigue_flag,0.13
279,443,2026-07-14,panel_fatigue_flag,0.16
280,444,2026-08-22,non_response,0.21
281,450,2026-08-01,equipment_failure,0.36
282,452,2026-07-21,equipment_failure,0.3
283,454,2026-07-22,non_response,0.14
284,457,2026-08-06,panel_fatigue_flag,0.99
285,457,2026-08-20,equipment_failure,0.89
286,457,2026-08-27,complaint,0.7
287,457,2026-07-03,complaint,0.7
288,459,2026-08-10,panel_fatigue_flag,0.09
289,462,2026-07-02,complaint,0.61
290,462,2026-08-29,non_response,0.88
291,468,2026-07-29,panel_fatigue_flag,0.13
292,471,2026-07-01,panel_fatigue_flag,0.38
293,472,2026-07-13,non_response,0.15
294,472,2026-08-26,equipment_failure,0.19
295,473,2026-07-11,equipment_failure,0.08
296,477,2026-07-06,equipment_failure,0.09
297,479,2026-07-17,complaint,0.31
298,480,2026-07-24,non_response,0.56
299,484,2026-07-04,panel_fatigue_flag,0.07
300,486,2026-08-10,equipment_failure,0.21
301,488,2026-08-16,non_response,0.25
302,488,2026-07-28,complaint,0.14
303,491,2026-08-15,complaint,0.59
304,491,2026-07-01,non_response,0.79
305,492,2026-07-31,complaint,0.27
306,493,2026-07-09,non_response,0.13
307,496,2026-08-03,panel_fatigue_flag,0.28
308,500,2026-07-01,complaint,0.17
