market,date,expected_responses,actual_responses
Tijuana,2026-06-06,77,71
Tijuana,2026-06-07,77,73
Tijuana,2026-06-08,77,72
Tijuana,2026-06-09,77,70
Tijuana,2026-06-10,77,71
Tijuana,2026-06-11,77,72
Tijuana,2026-06-12,77,73
Tijuana,2026-06-13,77,72
Tijuana,2026-06-14,77,70
Tijuana,2026-06-15,77,70
Tijuana,2026-06-16,77,71
Tijuana,2026-06-17,77,71
Tijuana,2026-06-18,77,72
Tijuana,2026-06-19,77,70
Tijuana,2026-06-20,77,70
Tijuana,2026-06-21,77,70
Tijuana,2026-06-22,77,71
Tijuana,2026-06-23,77,70
Tijuana,2026-06-24,77,70
Tijuana,2026-06-25,77,73
Tijuana,2026-06-26,77,70
Tijuana,2026-06-27,77,72
Tijuana,2026-06-28,77,70
Tijuana,2026-06-29,77,72
Tijuana,2026-06-30,77,72
Tijuana,2026-07-01,77,71
Tijuana,2026-07-02,77,70
Tijuana,2026-07-03,77,70
Tijuana,2026-07-04,77,70
Tijuana,2026-07-05,77,72
Tijuana,2026-07-06,77,72
Tijuana,2026-07-07,77,71
Tijuana,2026-07-08,77,71
Tijuana,2026-07-09,77,71
Tijuana,2026-07-10,77,71
Tijuana,2026-07-11,77,73
Tijuana,2026-07-12,77,73
Tijuana,2026-07-13,77,71
Tijuana,2026-07-14,77,71
Tijuana,2026-07-15,77,73
Tijuana,2026-07-16,77,72
Tijuana,2026-07-17,77,72
Tijuana,2026-07-18,77,70
Tijuana,2026-07-19,77,71
Tijuana,2026-07-20,77,72
Tijuana,2026-07-21,77,72
Tijuana,2026-07-22,77,72
Tijuana,2026-07-23,77,73
Tijuana,2026-07-24,77,70
Tijuana,2026-07-25,77,71
Tijuana,2026-07-26,77,70
Tijuana,2026-07-27,77,72
Tijuana,2026-07-28,77,72
Tijuana,2026-07-29,77,71
Tijuana,2026-07-30,77,71
Tijuana,2026-07-31,77,73
Tijuana,2026-08-01,77,72
Tijuana,2026-08-02,77,71
Tijuana,2026-08-03,77,72
Tijuana,2026-08-04,77,70
Tijuana,2026-08-05,77,73
Tijuana,2026-08-06,77,72
Tijuana,2026-08-07,77,72
Tijuana,2026-08-08,77,71
Tijuana,2026-08-09,77,72
Tijuana,2026-08-10,77,72
Tijuana,2026-08-11,77,72
Tijuana,2026-08-12,77,72
Tijuana,2026-08-13,77,71
Tijuana,2026-08-14,77,68
Tijuana,2026-08-15,77,65
Tijuana,2026-08-16,77,63
Tijuana,2026-08-17,77,58
Tijuana,2026-08-18,77,58
Tijuana,2026-08-19,77,66
Tijuana,2026-08-20,77,64
Tijuana,2026-08-21,77,65
Tijuana,2026-08-22,77,57
Tijuana,2026-08-23,77,65
Tijuana,2026-08-24,77,64
Tijuana,2026-08-25,77,67
Tijuana,2026-08-26,77,58
Tijuana,2026-08-27,77,67
Tijuana,2026-08-28,77,64
Tijuana,2026-08-29,77,59
Puebla,2026-06-01,40,35
Puebla,2026-06-02,40,36
Puebla,2026-06-03,40,34
Puebla,2026-06-04,40,35
Puebla,2026-06-05,40,35
Puebla,2026-06-06,40,35
Puebla,2026-06-07,40,36
Puebla,2026-06-08,40,36
Puebla,2026-06-09,40,36
Puebla,2026-06-10,40,35
Puebla,2026-06-11,40,35
Puebla,2026-06-12,40,36
Puebla,2026-06-13,40,36
Puebla,2026-06-14,40,36
Puebla,2026-06-15,40,35
Puebla,2026-06-16,40,34
Puebla,2026-06-17,40,35
Puebla,2026-06-18,40,35
Puebla,2026-06-19,40,35
Puebla,2026-06-20,40,34
Puebla,2026-06-21,40,35
Puebla,2026-06-22,40,36
Puebla,2026-06-23,40,36
Puebla,2026-06-24,40,36
Puebla,2026-06-25,40,35
Puebla,2026-06-26,40,36
Puebla,2026-06-27,40,35
Puebla,2026-06-28,40,36
Puebla,2026-06-29,40,35
Puebla,2026-06-30,40,36
Puebla,2026-07-01,40,34
Puebla,2026-07-02,40,36
Puebla,2026-07-03,40,35
Puebla,2026-07-04,40,34
Puebla,2026-07-05,40,35
Puebla,2026-07-06,40,35
Puebla,2026-07-07,40,35
Puebla,2026-07-08,40,36
Puebla,2026-07-09,40,35
Puebla,2026-07-10,40,35
Puebla,2026-07-11,40,36
Puebla,2026-07-12,40,34
Puebla,2026-07-13,40,36
Puebla,2026-07-14,40,35
Puebla,2026-07-15,40,35
Puebla,2026-07-16,40,36
Puebla,2026-07-17,40,36
Puebla,2026-07-18,40,34
Puebla,2026-07-19,40,35
Puebla,2026-07-20,40,35
Puebla,2026-07-21,40,35
Puebla,2026-07-22,40,36
Puebla,2026-07-23,40,36
Puebla,2026-07-24,40,35
Puebla,2026-07-25,40,35
Puebla,2026-07-26,40,36
Puebla,2026-07-27,40,35
Puebla,2026-07-28,40,34
Puebla,2026-07-29,40,36
Puebla,2026-07-30,40,36
Puebla,2026-07-31,40,35
Puebla,2026-08-01,40,35
Puebla,2026-08-02,40,35
Puebla,2026-08-03,40,36
Puebla,2026-08-04,40,36
Puebla,2026-08-05,40,35
Puebla,2026-08-06,40,35
Puebla,2026-08-07,40,36
Puebla,2026-08-08,40,35
Puebla,2026-08-09,40,35
Puebla,2026-08-10,40,34
Puebla,2026-08-11,40,34
Puebla,2026-08-12,40,35
Puebla,2026-08-13,40,35
Puebla,2026-08-14,40,36
Puebla,2026-08-15,40,35
Puebla,2026-08-16,40,35
Puebla,2026-08-17,40,36
Puebla,2026-08-18,40,34
Puebla,2026-08-19,40,28
Puebla,2026-08-20,40,30
Puebla,2026-08-21,40,33
Puebla,2026-08-22,40,29
Puebla,2026-08-23,40,29
Puebla,2026-08-24,40,31
Puebla,2026-08-25,40,29
Puebla,2026-08-26,40,30
Puebla,2026-08-27,40,30
Puebla,2026-08-28,40,30
Puebla,2026-08-29,40,29
