panelist_id,market,household_size,age_bracket,income_bracket,join_date,panel_type
300,CDMX,1,55+,C+,2025-06-07,Audio
301,Guadalajara,5,35-44,A/B,2025-01-26,TAM
302,Guadalajara,5,45-54,C-,2025-11-07,TAM
303,Guadalajara,1,35-44,C,2024-08-16,TAM
304,Monterrey,5,55+,A/B,2024-02-29,Audio
305,Monterrey,3,35-44,A/B,2024-07-09,TAM
306,Guadalajara,4,55+,C+,2025-04-02,TAM
307,CDMX,1,35-44,C,2024-09-13,Audio
308,CDMX,4,25-34,D+,2024-05-17,Audio
309,Monterrey,5,45-54,C,2026-02-05,Audio
310,CDMX,5,55+,A/B,2024-06-15,TAM
311,CDMX,1,18-24,C,2025-02-23,TAM
312,Monterrey,3,45-54,C+,2025-09-25,TAM
313,Guadalajara,2,35-44,A/B,2025-12-13,TAM
314,Puebla,1,55+,A/B,2024-10-27,TAM
315,CDMX,2,55+,C-,2024-03-09,TAM
316,Puebla,2,55+,C+,2025-10-29,Audio
317,Monterrey,3,25-34,C-,2026-03-19,TAM
318,CDMX,2,45-54,C+,2024-03-23,TAM
319,Tijuana,2,45-54,C+,2025-06-20,TAM
320,Tijuana,3,45-54,C,2024-09-25,Audio
321,CDMX,2,25-34,C+,2024-12-04,Audio
322,Tijuana,2,18-24,C-,2025-12-12,Audio
323,Tijuana,2,55+,A/B,2024-10-12,TAM
324,Guadalajara,1,45-54,D+,2024-03-12,TAM
325,Guadalajara,1,25-34,C-,2025-02-09,Audio
326,Monterrey,1,45-54,D+,2026-04-05,TAM
327,Tijuana,3,35-44,C+,2025-04-02,TAM
328,Puebla,5,35-44,C+,2026-01-21,TAM
329,Tijuana,2,45-54,C+,2025-07-13,Audio
330,Monterrey,2,18-24,A/B,2025-01-07,TAM
331,Puebla,3,55+,D+,2025-09-24,TAM
332,Puebla,2,25-34,C,2026-01-09,TAM
333,Monterrey,1,55+,C-,2025-08-31,TAM
334,Tijuana,5,55+,D+,2023-12-28,TAM
335,CDMX,4,25-34,C,2024-11-21,TAM
336,Monterrey,2,55+,C-,2024-08-11,TAM
337,Guadalajara,1,35-44,A/B,2024-06-17,Audio
338,CDMX,4,55+,D+,2024-10-22,TAM
339,Guadalajara,5,45-54,C,2025-01-06,TAM
340,Monterrey,4,18-24,C,2026-04-16,TAM
341,CDMX,1,55+,C,2024-06-29,TAM
342,CDMX,4,25-34,C-,2025-05-07,Audio
343,CDMX,3,25-34,A/B,2024-12-28,Audio
344,Guadalajara,4,25-34,A/B,2025-01-19,Audio
345,Monterrey,2,35-44,D+,2026-03-21,TAM
346,CDMX,2,35-44,A/B,2024-01-19,Audio
347,Guadalajara,3,18-24,C,2025-10-19,TAM
348,Monterrey,1,45-54,C-,2024-02-04,Audio
349,Monterrey,2,25-34,C-,2025-04-02,TAM
350,Tijuana,5,55+,C,2025-04-21,Audio
351,Monterrey,2,45-54,D+,2024-04-18,Audio
352,CDMX,2,35-44,A/B,2025-10-30,TAM
353,Guadalajara,1,45-54,D+,2024-06-25,Audio
354,CDMX,4,35-44,C-,2025-11-13,TAM
355,CDMX,2,45-54,C,2025-05-06,TAM
356,Tijuana,3,18-24,C-,2024-02-12,TAM
357,CDMX,4,25-34,A/B,2024-02-02,TAM
358,CDMX,5,45-54,A/B,2024-08-18,TAM
359,Puebla,1,35-44,C,2025-09-03,TAM
360,Guadalajara,5,25-34,C-,2024-09-29,Audio
361,Monterrey,4,18-24,D+,2025-04-17,TAM
362,Monterrey,4,35-44,C+,2025-04-22,Audio
363,CDMX,4,45-54,D+,2026-04-06,TAM
364,Guadalajara,5,35-44,C-,2024-10-04,TAM
365,Guadalajara,4,45-54,C+,2024-08-14,TAM
366,Monterrey,5,45-54,A/B,2026-02-16,Audio
367,Tijuana,4,35-44,A/B,2023-12-19,TAM
368,Tijuana,3,25-34,C+,2025-07-09,Audio
369,Guadalajara,4,25-34,C+,2024-11-28,TAM
370,Guadalajara,5,55+,D+,2024-12-13,TAM
371,Tijuana,2,25-34,D+,2024-01-31,Audio
372,Monterrey,4,45-54,D+,2026-02-24,TAM
373,Puebla,2,18-24,C+,2025-03-09,Audio
374,Guadalajara,3,45-54,D+,2024-07-14,TAM
375,Puebla,1,55+,C+,2024-01-05,Audio
376,Monterrey,3,18-24,A/B,2025-12-21,TAM
377,Guadalajara,4,35-44,C+,2025-06-25,TAM
378,Tijuana,2,18-24,C,2024-11-17,TAM
379,Guadalajara,2,35-44,D+,2024-10-15,TAM
380,CDMX,5,55+,D+,2024-12-04,TAM
381,CDMX,2,55+,C,2024-06-27,Audio
382,Guadalajara,5,18-24,A/B,2024-10-02,TAM
383,Puebla,1,35-44,C+,2024-07-15,Audio
384,CDMX,4,18-24,C-,2025-03-02,Audio
385,Guadalajara,5,35-44,C-,2024-10-21,TAM
386,CDMX,1,35-44,C-,2024-01-27,TAM
387,Guadalajara,2,45-54,C-,2026-03-02,TAM
388,CDMX,2,35-44,C,2025-05-19,Audio
389,Tijuana,1,25-34,C,2025-05-14,TAM
390,Monterrey,2,45-54,A/B,2026-01-14,TAM
391,Guadalajara,1,18-24,C,2025-08-22,Audio
392,Monterrey,5,25-34,C,2024-08-10,Audio
393,Monterrey,5,25-34,C-,2024-04-24,Audio
394,Monterrey,1,35-44,C-,2025-01-09,TAM
395,CDMX,5,25-34,C+,2025-03-26,TAM
396,Guadalajara,5,45-54,D+,2026-03-14,Audio
397,CDMX,5,35-44,D+,2024-07-02,TAM
398,Monterrey,3,35-44,C,2026-01-12,Audio
399,Guadalajara,4,18-24,D+,2025-04-23,TAM
400,CDMX,2,18-24,C-,2025-04-26,TAM
401,CDMX,3,55+,D+,2024-03-11,TAM
402,Monterrey,5,35-44,D+,2026-01-23,Audio
403,Guadalajara,1,55+,D+,2024-03-20,TAM
404,Guadalajara,5,25-34,C,2026-03-22,Audio
405,Monterrey,4,55+,D+,2024-11-17,TAM
406,Monterrey,5,45-54,D+,2024-08-13,Audio
407,CDMX,1,55+,D+,2025-06-30,TAM
408,CDMX,4,45-54,A/B,2024-05-07,TAM
409,Guadalajara,5,45-54,D+,2024-06-12,TAM
410,Tijuana,4,18-24,D+,2024-04-20,TAM
411,Puebla,2,55+,D+,2024-06-30,TAM
412,CDMX,2,25-34,D+,2026-03-11,TAM
413,Puebla,5,45-54,C+,2024-08-06,Audio
414,Guadalajara,4,18-24,C+,2025-08-27,TAM
415,Monterrey,1,45-54,C+,2025-06-15,TAM
416,CDMX,5,45-54,A/B,2024-02-29,Audio
417,Guadalajara,2,35-44,C-,2024-11-17,TAM
418,Tijuana,2,45-54,D+,2025-06-15,TAM
419,CDMX,5,35-44,D+,2025-05-05,TAM
420,Guadalajara,4,35-44,C+,2025-08-23,Audio
421,Puebla,2,25-34,C-,2025-07-02,TAM
422,CDMX,4,35-44,C,2025-05-10,TAM
423,CDMX,2,45-54,C,2024-06-09,Audio
424,Guadalajara,2,18-24,C,2024-01-30,Audio
425,Monterrey,3,45-54,C,2026-02-11,Audio
426,Guadalajara,2,55+,C,2025-09-25,Audio
427,Guadalajara,1,18-24,D+,2024-05-20,Audio
428,Guadalajara,5,55+,C+,2025-08-30,TAM
429,Guadalajara,5,35-44,C-,2026-03-10,TAM
430,Guadalajara,4,55+,C+,2024-03-04,TAM
431,Monterrey,2,25-34,C,2024-12-31,TAM
432,Guadalajara,1,18-24,D+,2024-07-10,TAM
433,CDMX,4,18-24,C+,2024-04-06,TAM
434,Guadalajara,3,18-24,C-,2023-12-27,Audio
435,Tijuana,4,35-44,A/B,2025-10-24,TAM
436,CDMX,4,35-44,C,2024-09-28,TAM
437,CDMX,2,45-54,C+,2024-07-15,Audio
438,Guadalajara,3,18-24,C,2025-01-08,TAM
439,CDMX,4,25-34,A/B,2025-01-18,Audio
440,Guadalajara,1,25-34,C+,2024-02-13,TAM
441,Tijuana,1,45-54,D+,2024-07-17,TAM
442,CDMX,5,25-34,C+,2025-03-18,TAM
443,Guadalajara,3,45-54,C+,2025-08-21,TAM
444,Tijuana,3,35-44,D+,2025-08-02,Audio
445,Guadalajara,5,35-44,C+,2026-04-21,TAM
446,Monterrey,4,25-34,C-,2026-01-01,TAM
447,Puebla,3,18-24,C,2024-05-12,TAM
448,Guadalajara,1,25-34,C-,2025-09-18,TAM
449,Tijuana,1,35-44,C-,2024-03-28,Audio
450,Puebla,2,25-34,C+,2025-01-05,TAM
451,Tijuana,3,18-24,D+,2024-08-30,TAM
452,Monterrey,4,55+,A/B,2024-05-12,TAM
453,Tijuana,5,25-34,D+,2024-10-19,TAM
454,Monterrey,5,55+,C-,2025-11-15,TAM
455,CDMX,4,45-54,A/B,2025-10-04,Audio
456,Puebla,2,45-54,C+,2025-01-31,TAM
457,CDMX,5,55+,C-,2025-01-20,TAM
458,CDMX,3,45-54,C,2025-06-21,Audio
459,Guadalajara,2,18-24,A/B,2024-03-30,TAM
460,Guadalajara,3,18-24,A/B,2024-05-15,Audio
461,Guadalajara,1,45-54,C+,2025-01-04,Audio
462,CDMX,2,45-54,C,2024-03-09,Audio
463,Monterrey,5,45-54,C-,2025-04-06,TAM
464,Tijuana,2,25-34,C,2024-06-24,TAM
465,Monterrey,2,25-34,C+,2024-10-29,Audio
466,Guadalajara,2,35-44,C-,2024-03-19,TAM
467,Monterrey,2,45-54,C+,2024-10-22,TAM
468,Guadalajara,3,25-34,A/B,2025-05-13,TAM
469,Monterrey,1,18-24,C+,2024-06-25,TAM
470,CDMX,4,45-54,D+,2026-01-19,TAM
471,Guadalajara,2,18-24,C-,2026-03-14,TAM
472,Guadalajara,5,18-24,C+,2024-10-27,TAM
473,Guadalajara,2,55+,C,2025-07-10,TAM
474,CDMX,5,35-44,C+,2024-03-02,TAM
475,Tijuana,3,55+,C+,2025-12-07,TAM
476,Guadalajara,5,55+,C+,2025-07-25,TAM
477,CDMX,4,18-24,C,2025-02-19,Audio
478,Monterrey,1,55+,C,2024-06-14,TAM
479,Guadalajara,5,45-54,C+,2025-03-10,Audio
480,Guadalajara,5,25-34,C,2025-01-03,Audio
481,Puebla,1,18-24,D+,2025-12-06,TAM
482,CDMX,4,25-34,C-,2025-03-02,TAM
483,Monterrey,2,18-24,C-,2025-10-06,Audio
484,CDMX,5,25-34,A/B,2026-01-28,TAM
485,CDMX,1,18-24,A/B,2024-06-12,TAM
486,CDMX,3,55+,C+,2024-03-14,TAM
487,Monterrey,1,18-24,C+,2025-05-27,Audio
488,Guadalajara,3,45-54,C+,2024-04-03,TAM
489,Guadalajara,4,25-34,D+,2024-05-12,TAM
490,Monterrey,2,55+,C,2025-07-17,TAM
491,CDMX,1,45-54,C-,2025-04-29,TAM
492,Monterrey,5,35-44,C+,2024-04-23,TAM
493,Guadalajara,4,25-34,C+,2025-03-05,TAM
494,Tijuana,1,55+,C-,2024-10-13,TAM
495,Monterrey,5,45-54,D+,2025-10-14,Audio
496,CDMX,1,35-44,C,2024-12-07,Audio
497,Tijuana,3,45-54,C-,2024-12-18,TAM
498,Monterrey,1,25-34,D+,2024-02-08,TAM
499,Tijuana,1,18-24,D+,2024-10-24,TAM
500,Guadalajara,1,18-24,A/B,2023-12-17,TAM
