panelist_id,market,panel_type,composite_risk_score,recent_noncompliance_rate,baseline_noncompliance_rate,recent_missing_days,compliance_z_score,event_risk_sum
131,Guadalajara,TAM,51.5,0.667,0.261,0.0,3.58,1.57
60,CDMX,TAM,51.0,0.333,0.065,0.0,4.21,0.89
266,Puebla,TAM,50.3,0.667,0.174,0.0,5.03,0.0
258,Monterrey,TAM,50.3,0.267,0.043,1.0,4.24,0.29
285,Puebla,Audio,50.0,0.467,0.152,0.0,3.39,1.6099999999999999
2,Guadalajara,TAM,49.7,0.267,0.109,0.0,1.97,3.0
302,Guadalajara,TAM,47.4,0.267,0.043,1.0,4.24,0.0
401,CDMX,TAM,47.3,0.2,0.022,0.0,4.73,0.0
32,CDMX,TAM,45.6,0.267,0.13,0.0,1.57,2.99
287,CDMX,Audio,45.5,0.267,0.043,0.0,4.24,0.31
69,Tijuana,TAM,45.0,0.333,0.065,0.0,4.21,0.29
307,CDMX,Audio,44.7,0.4,0.087,0.0,4.3,0.17
411,Puebla,TAM,44.6,0.4,0.13,0.0,3.1,1.3599999999999999
313,Guadalajara,TAM,44.5,0.467,0.109,0.0,4.45,0.0
480,Guadalajara,Audio,44.3,0.467,0.13,0.0,3.87,0.56
232,Guadalajara,Audio,43.1,0.333,0.087,0.0,3.39,0.92
300,CDMX,Audio,43.1,0.4,0.217,0.0,1.71,2.6
153,Guadalajara,TAM,43.0,0.4,0.087,0.0,4.3,0.0
222,Guadalajara,Audio,42.4,0.267,0.043,0.0,4.24,0.0
340,Monterrey,TAM,39.6,0.467,0.152,0.0,3.39,0.57
420,Guadalajara,Audio,37.6,0.533,0.217,0.0,2.97,0.79
154,CDMX,TAM,36.6,0.267,0.065,1.0,3.16,0.0
177,Monterrey,TAM,35.8,0.2,0.043,1.0,2.97,0.11
16,Guadalajara,TAM,34.8,0.467,0.239,0.0,2.07,1.4100000000000001
193,Monterrey,TAM,34.6,0.133,0.022,1.0,2.96,0.0
166,Tijuana,Audio,33.9,0.333,0.087,0.0,3.39,0.0
40,Tijuana,TAM,33.1,0.2,0.043,0.0,2.97,0.34
161,Guadalajara,TAM,32.9,0.067,0.0,1.0,2.59,0.2
275,Guadalajara,TAM,31.6,0.133,0.022,0.0,2.96,0.2
15,CDMX,Audio,30.9,0.067,0.0,1.0,2.59,0.0
490,Monterrey,TAM,29.7,0.2,0.043,0.0,2.97,0.0
471,Guadalajara,TAM,29.7,0.067,0.0,0.0,2.59,0.38
324,Guadalajara,TAM,29.7,0.2,0.043,0.0,2.97,0.0
403,Guadalajara,TAM,29.7,0.2,0.043,0.0,2.97,0.0
337,Guadalajara,Audio,29.6,0.133,0.022,0.0,2.96,0.0
291,Guadalajara,Audio,29.6,0.133,0.022,0.0,2.96,0.0
68,CDMX,TAM,29.6,0.133,0.022,0.0,2.96,0.0
124,Guadalajara,TAM,29.4,0.067,0.0,0.0,2.59,0.35
155,CDMX,TAM,29.2,0.2,0.065,1.0,2.11,0.31000000000000005
109,Guadalajara,TAM,27.2,0.067,0.0,0.0,2.59,0.13
345,Monterrey,TAM,27.1,0.2,0.065,0.0,2.11,0.6000000000000001
96,CDMX,Audio,26.7,0.333,0.13,0.0,2.33,0.34
472,Guadalajara,TAM,26.7,0.333,0.13,0.0,2.33,0.33999999999999997
449,Tijuana,Audio,26.1,0.2,0.065,1.0,2.11,0.0
331,Puebla,TAM,25.9,0.067,0.0,0.0,2.59,0.0
5,Guadalajara,TAM,25.9,0.067,0.0,0.0,2.59,0.0
203,Monterrey,TAM,25.9,0.067,0.0,0.0,2.59,0.0
179,Monterrey,TAM,25.9,0.067,0.0,0.0,2.59,0.0
14,CDMX,TAM,25.9,0.067,0.0,0.0,2.59,0.0
253,Guadalajara,TAM,25.9,0.067,0.0,0.0,2.59,0.0
241,Tijuana,TAM,25.9,0.067,0.0,0.0,2.59,0.0
377,Guadalajara,TAM,25.9,0.067,0.0,0.0,2.59,0.0
79,Puebla,TAM,25.9,0.067,0.0,0.0,2.59,0.0
91,CDMX,TAM,25.7,0.267,0.13,2.0,1.57,0.0
459,Guadalajara,TAM,25.6,0.267,0.087,0.0,2.47,0.09
434,Guadalajara,Audio,25.0,0.2,0.065,0.0,2.11,0.39
106,Tijuana,TAM,23.6,0.2,0.065,0.0,2.11,0.25
486,CDMX,TAM,23.2,0.2,0.065,0.0,2.11,0.21
296,Guadalajara,TAM,21.8,0.2,0.065,0.0,2.11,0.07
358,CDMX,TAM,21.1,0.2,0.065,0.0,2.11,0.0
151,Guadalajara,TAM,21.1,0.2,0.065,0.0,2.11,0.0
415,Monterrey,TAM,21.1,0.2,0.065,0.0,2.11,0.0
39,Guadalajara,TAM,20.5,0.2,0.087,1.0,1.55,0.0
122,Monterrey,Audio,20.5,0.133,0.043,0.0,1.71,0.34
387,Guadalajara,TAM,20.5,0.2,0.087,1.0,1.55,0.0
376,Monterrey,TAM,20.3,0.133,0.043,0.0,1.71,0.32
343,CDMX,Audio,19.7,0.267,0.109,0.0,1.97,0.0
431,Monterrey,TAM,18.9,0.2,0.087,0.0,1.55,0.34
370,Guadalajara,TAM,18.8,0.2,0.087,0.0,1.55,0.33
136,Monterrey,TAM,18.5,0.2,0.087,0.0,1.55,0.3
297,Puebla,TAM,18.4,0.267,0.13,0.0,1.57,0.27
196,Monterrey,Audio,17.9,0.067,0.087,3.0,-0.28,0.29
101,CDMX,TAM,17.1,0.133,0.043,0.0,1.71,0.0
226,Guadalajara,Audio,17.1,0.133,0.043,0.0,1.71,0.0
200,Monterrey,TAM,16.6,0.2,0.087,0.0,1.55,0.11
224,Puebla,Audio,15.5,0.2,0.087,0.0,1.55,0.0
180,Monterrey,Audio,15.5,0.2,0.087,0.0,1.55,0.0
199,Monterrey,TAM,15.5,0.2,0.087,0.0,1.55,0.0
31,Tijuana,Audio,15.5,0.2,0.087,0.0,1.55,0.0
100,CDMX,TAM,13.5,0.0,0.109,2.0,-1.35,0.35
160,Guadalajara,TAM,12.4,0.067,0.022,2.0,1.19,0.24
184,Tijuana,TAM,10.0,0.133,0.109,2.0,0.31,0.0
252,Guadalajara,TAM,10.0,0.0,0.087,2.0,-1.2,0.0
488,Guadalajara,TAM,8.9,0.0,0.022,1.0,-0.58,0.39
292,Guadalajara,Audio,8.9,0.0,0.174,1.0,-1.78,0.39
335,CDMX,TAM,8.9,0.067,0.152,0.0,-0.92,0.89
146,Guadalajara,TAM,8.6,0.0,0.022,1.0,-0.58,0.36
173,Guadalajara,Audio,8.6,0.0,0.043,1.0,-0.83,0.36
384,CDMX,Audio,8.3,0.133,0.065,1.0,1.07,0.33
374,Guadalajara,TAM,8.2,0.2,0.196,1.0,0.04,0.32
268,Puebla,TAM,7.7,0.067,0.152,1.0,-0.92,0.27
120,Guadalajara,Audio,7.5,0.0,0.0,1.0,0.0,0.25
388,CDMX,Audio,7.4,0.333,0.239,0.0,0.86,0.74
430,Guadalajara,TAM,7.3,0.067,0.022,1.0,1.19,0.23
355,CDMX,TAM,7.0,0.267,0.196,1.0,0.69,0.2
190,CDMX,TAM,7.0,0.133,0.087,1.0,0.64,0.2
373,Puebla,Audio,6.8,0.067,0.174,1.0,-1.1,0.18
208,CDMX,TAM,6.5,0.067,0.087,1.0,-0.28,0.15
454,Monterrey,TAM,6.4,0.0,0.0,1.0,0.0,0.14
23,CDMX,TAM,6.2,0.0,0.043,0.0,-0.83,0.62
330,Monterrey,TAM,6.2,0.067,0.065,0.0,0.02,0.6200000000000001
367,Tijuana,TAM,6.0,0.0,0.043,1.0,-0.83,0.1
188,Guadalajara,Audio,6.0,0.067,0.022,0.0,1.19,0.6
10,CDMX,TAM,5.9,0.067,0.109,1.0,-0.52,0.09
361,Monterrey,TAM,5.6,0.067,0.217,0.0,-1.42,0.56
72,CDMX,Audio,5.5,0.067,0.109,0.0,-0.52,0.55
43,Guadalajara,TAM,5.5,0.0,0.087,1.0,-1.2,0.05
17,Guadalajara,TAM,5.2,0.267,0.152,0.0,1.23,0.52
115,Puebla,Audio,5.0,0.0,0.043,1.0,-0.83,0.0
470,CDMX,TAM,5.0,0.067,0.152,1.0,-0.92,0.0
3,Guadalajara,TAM,5.0,0.0,0.109,1.0,-1.35,0.0
270,Tijuana,TAM,5.0,0.133,0.152,1.0,-0.2,0.0
274,Monterrey,TAM,5.0,0.0,0.043,1.0,-0.83,0.0
327,Tijuana,TAM,5.0,0.067,0.087,1.0,-0.28,0.0
215,CDMX,Audio,5.0,0.133,0.065,1.0,1.07,0.0
396,Guadalajara,Audio,5.0,0.2,0.109,1.0,1.14,0.0
174,Tijuana,Audio,5.0,0.0,0.087,1.0,-1.2,0.0
391,Guadalajara,Audio,5.0,0.067,0.283,1.0,-1.86,0.0
392,Monterrey,Audio,5.0,0.067,0.022,1.0,1.19,0.0
499,Tijuana,TAM,5.0,0.0,0.087,1.0,-1.2,0.0
478,Monterrey,TAM,5.0,0.133,0.174,1.0,-0.41,0.0
165,Guadalajara,Audio,5.0,0.067,0.152,1.0,-0.92,0.0
139,Guadalajara,TAM,5.0,0.133,0.152,1.0,-0.2,0.0
348,Monterrey,Audio,5.0,0.2,0.196,1.0,0.04,0.0
346,CDMX,Audio,5.0,0.2,0.174,1.0,0.27,0.0
364,Guadalajara,TAM,5.0,0.133,0.087,1.0,0.64,0.0
209,Tijuana,TAM,5.0,0.133,0.065,1.0,1.07,0.0
368,Tijuana,Audio,5.0,0.133,0.109,1.0,0.31,0.0
234,CDMX,TAM,5.0,0.067,0.087,1.0,-0.28,0.0
259,CDMX,TAM,5.0,0.067,0.087,1.0,-0.28,0.0
239,Tijuana,TAM,5.0,0.2,0.109,1.0,1.14,0.0
41,Monterrey,TAM,5.0,0.067,0.13,1.0,-0.73,0.0
497,Tijuana,TAM,5.0,0.0,0.043,1.0,-0.83,0.0
474,CDMX,TAM,5.0,0.067,0.13,1.0,-0.73,0.0
194,Monterrey,TAM,5.0,0.067,0.065,1.0,0.02,0.0
167,Puebla,TAM,5.0,0.0,0.174,1.0,-1.78,0.0
290,CDMX,TAM,5.0,0.0,0.022,1.0,-0.58,0.0
284,Guadalajara,Audio,5.0,0.067,0.152,1.0,-0.92,0.0
315,CDMX,TAM,5.0,0.067,0.043,1.0,0.44,0.0
426,Guadalajara,Audio,5.0,0.0,0.022,1.0,-0.58,0.0
461,Guadalajara,Audio,5.0,0.067,0.13,1.0,-0.73,0.0
57,Guadalajara,TAM,5.0,0.067,0.022,1.0,1.19,0.0
18,Monterrey,TAM,5.0,0.067,0.022,1.0,1.19,0.0
28,Monterrey,Audio,5.0,0.067,0.043,1.0,0.44,0.0
466,Guadalajara,TAM,5.0,0.0,0.065,1.0,-1.02,0.0
67,CDMX,TAM,5.0,0.133,0.087,1.0,0.64,0.0
425,Monterrey,Audio,5.0,0.0,0.0,1.0,0.0,0.0
129,CDMX,TAM,5.0,0.0,0.0,1.0,0.0,0.0
20,Tijuana,TAM,5.0,0.0,0.0,1.0,0.0,0.0
372,Monterrey,TAM,4.9,0.267,0.152,0.0,1.23,0.49
11,Guadalajara,Audio,4.9,0.133,0.196,0.0,-0.61,0.49
303,Guadalajara,TAM,4.6,0.2,0.109,0.0,1.14,0.46
202,Tijuana,TAM,4.4,0.0,0.109,0.0,-1.35,0.43999999999999995
424,Guadalajara,Audio,3.9,0.133,0.13,0.0,0.03,0.39
181,Tijuana,TAM,3.7,0.0,0.0,0.0,0.0,0.37
397,CDMX,TAM,3.6,0.133,0.217,0.0,-0.79,0.36
450,Puebla,TAM,3.6,0.0,0.022,0.0,-0.58,0.36
375,Puebla,Audio,3.5,0.267,0.152,0.0,1.23,0.35
45,Monterrey,TAM,3.5,0.133,0.087,0.0,0.64,0.35
311,CDMX,TAM,3.4,0.133,0.13,0.0,0.03,0.34
408,CDMX,TAM,3.4,0.0,0.022,0.0,-0.58,0.34
24,Tijuana,TAM,3.3,0.067,0.087,0.0,-0.28,0.33
1,Guadalajara,TAM,3.3,0.067,0.065,0.0,0.02,0.33
393,Monterrey,Audio,3.2,0.067,0.022,0.0,1.19,0.32
53,CDMX,TAM,3.2,0.067,0.065,0.0,0.02,0.32
29,Tijuana,TAM,3.2,0.0,0.065,0.0,-1.02,0.32
399,Guadalajara,TAM,3.2,0.0,0.109,0.0,-1.35,0.32
479,Guadalajara,Audio,3.1,0.0,0.022,0.0,-0.58,0.31
233,Guadalajara,TAM,3.0,0.133,0.065,0.0,1.07,0.3
176,Monterrey,TAM,3.0,0.133,0.087,0.0,0.64,0.3
329,Tijuana,Audio,3.0,0.0,0.109,0.0,-1.35,0.3
452,Monterrey,TAM,3.0,0.0,0.022,0.0,-0.58,0.3
443,Guadalajara,TAM,2.9,0.067,0.087,0.0,-0.28,0.29000000000000004
205,Tijuana,TAM,2.9,0.067,0.065,0.0,0.02,0.29000000000000004
435,Tijuana,TAM,2.9,0.067,0.022,0.0,1.19,0.29
333,Monterrey,TAM,2.9,0.067,0.109,0.0,-0.52,0.29
419,CDMX,TAM,2.9,0.067,0.087,0.0,-0.28,0.29
134,Guadalajara,Audio,2.8,0.067,0.043,0.0,0.44,0.28
37,CDMX,Audio,2.8,0.2,0.13,0.0,0.8,0.28
197,Monterrey,Audio,2.8,0.133,0.087,0.0,0.64,0.28
496,CDMX,Audio,2.8,0.133,0.109,0.0,0.31,0.28
168,Guadalajara,Audio,2.7,0.0,0.022,0.0,-0.58,0.27
492,Monterrey,TAM,2.7,0.067,0.043,0.0,0.44,0.27
59,Guadalajara,TAM,2.7,0.067,0.087,0.0,-0.28,0.27
398,Monterrey,Audio,2.6,0.133,0.087,0.0,0.64,0.26
22,CDMX,TAM,2.5,0.067,0.13,0.0,-0.73,0.25
212,Guadalajara,TAM,2.5,0.067,0.043,0.0,0.44,0.25
359,Puebla,TAM,2.5,0.133,0.087,0.0,0.64,0.25
325,Guadalajara,Audio,2.5,0.2,0.13,0.0,0.8,0.25
85,Tijuana,TAM,2.4,0.2,0.13,0.0,0.8,0.24
55,Guadalajara,TAM,2.3,0.0,0.087,0.0,-1.2,0.23
78,Puebla,TAM,2.3,0.0,0.087,0.0,-1.2,0.23
137,Tijuana,Audio,2.2,0.067,0.022,0.0,1.19,0.22
187,Monterrey,TAM,2.2,0.133,0.174,0.0,-0.41,0.22
444,Tijuana,Audio,2.1,0.067,0.043,0.0,0.44,0.21
103,Guadalajara,TAM,2.1,0.133,0.13,0.0,0.03,0.21
286,Guadalajara,TAM,2.0,0.0,0.0,0.0,0.0,0.2
118,Monterrey,Audio,2.0,0.0,0.043,0.0,-0.83,0.2
342,CDMX,Audio,2.0,0.0,0.043,0.0,-0.83,0.2
404,Guadalajara,Audio,2.0,0.0,0.152,0.0,-1.64,0.2
416,CDMX,Audio,1.9,0.0,0.043,0.0,-0.83,0.19
135,Monterrey,TAM,1.8,0.0,0.065,0.0,-1.02,0.18
500,Guadalajara,TAM,1.7,0.067,0.13,0.0,-0.73,0.17
299,Tijuana,TAM,1.7,0.133,0.065,0.0,1.07,0.17
264,CDMX,TAM,1.7,0.2,0.152,0.0,0.52,0.17
310,CDMX,TAM,1.7,0.133,0.087,0.0,0.64,0.16999999999999998
89,CDMX,TAM,1.6,0.0,0.065,0.0,-1.02,0.16
76,CDMX,Audio,1.6,0.067,0.109,0.0,-0.52,0.16
186,CDMX,Audio,1.5,0.2,0.152,0.0,0.52,0.15
344,Guadalajara,Audio,1.5,0.067,0.065,0.0,0.02,0.15
272,Puebla,TAM,1.5,0.067,0.043,0.0,0.44,0.15
366,Monterrey,Audio,1.4,0.133,0.13,0.0,0.03,0.14
133,Puebla,TAM,1.4,0.0,0.022,0.0,-0.58,0.14
380,CDMX,TAM,1.4,0.0,0.043,0.0,-0.83,0.14
493,Guadalajara,TAM,1.3,0.0,0.087,0.0,-1.2,0.13
65,Tijuana,TAM,1.3,0.0,0.043,0.0,-0.83,0.13
468,Guadalajara,TAM,1.3,0.2,0.239,0.0,-0.36,0.13
306,Guadalajara,TAM,1.3,0.067,0.065,0.0,0.02,0.13
301,Guadalajara,TAM,1.1,0.067,0.022,0.0,1.19,0.11
90,Tijuana,TAM,1.0,0.067,0.152,0.0,-0.92,0.1
477,CDMX,Audio,0.9,0.133,0.152,0.0,-0.2,0.09
147,Monterrey,TAM,0.9,0.0,0.043,0.0,-0.83,0.09
34,Tijuana,TAM,0.9,0.133,0.13,0.0,0.03,0.09
117,Monterrey,TAM,0.9,0.067,0.043,0.0,0.44,0.09
66,Guadalajara,TAM,0.8,0.267,0.152,0.0,1.23,0.08
30,Tijuana,TAM,0.8,0.067,0.13,0.0,-0.73,0.08
149,Guadalajara,TAM,0.8,0.067,0.043,0.0,0.44,0.08
473,Guadalajara,TAM,0.8,0.0,0.043,0.0,-0.83,0.08
183,Monterrey,TAM,0.7,0.0,0.022,0.0,-0.58,0.07
484,CDMX,TAM,0.7,0.0,0.022,0.0,-0.58,0.07
80,CDMX,Audio,0.7,0.133,0.13,0.0,0.03,0.07
12,Guadalajara,TAM,0.7,0.0,0.065,0.0,-1.02,0.07
394,Monterrey,TAM,0.6,0.0,0.022,0.0,-0.58,0.06
192,Guadalajara,TAM,0.6,0.067,0.087,0.0,-0.28,0.06
235,Guadalajara,Audio,0.6,0.0,0.087,0.0,-1.2,0.06
178,Monterrey,TAM,0.6,0.0,0.065,0.0,-1.02,0.06
185,CDMX,TAM,0.5,0.133,0.087,0.0,0.64,0.05
428,Guadalajara,TAM,0.0,0.0,0.174,0.0,-1.78,0.0
427,Guadalajara,Audio,0.0,0.0,0.065,0.0,-1.02,0.0
64,Guadalajara,Audio,0.0,0.0,0.0,0.0,0.0,0.0
70,Guadalajara,Audio,0.0,0.067,0.109,0.0,-0.52,0.0
423,CDMX,Audio,0.0,0.0,0.087,0.0,-1.2,0.0
429,Guadalajara,TAM,0.0,0.067,0.065,0.0,0.02,0.0
432,Guadalajara,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
433,CDMX,TAM,0.0,0.0,0.13,0.0,-1.5,0.0
62,Tijuana,TAM,0.0,0.067,0.13,0.0,-0.73,0.0
63,Guadalajara,Audio,0.0,0.067,0.065,0.0,0.02,0.0
46,Tijuana,Audio,0.0,0.0,0.087,0.0,-1.2,0.0
47,Guadalajara,Audio,0.0,0.067,0.043,0.0,0.44,0.0
440,Guadalajara,TAM,0.0,0.067,0.109,0.0,-0.52,0.0
441,Tijuana,TAM,0.0,0.067,0.043,0.0,0.44,0.0
442,CDMX,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
463,Monterrey,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
464,Tijuana,TAM,0.0,0.067,0.043,0.0,0.44,0.0
465,Monterrey,Audio,0.0,0.133,0.109,0.0,0.31,0.0
467,Monterrey,TAM,0.0,0.133,0.109,0.0,0.31,0.0
469,Monterrey,TAM,0.0,0.067,0.043,0.0,0.44,0.0
36,Guadalajara,TAM,0.0,0.067,0.13,0.0,-0.73,0.0
54,Tijuana,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
56,Tijuana,Audio,0.0,0.067,0.174,0.0,-1.1,0.0
58,CDMX,TAM,0.0,0.0,0.152,0.0,-1.64,0.0
61,Tijuana,TAM,0.0,0.067,0.065,0.0,0.02,0.0
44,Puebla,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
25,Puebla,TAM,0.0,0.133,0.065,0.0,1.07,0.0
26,Monterrey,Audio,0.0,0.0,0.043,0.0,-0.83,0.0
33,Guadalajara,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
35,CDMX,TAM,0.0,0.2,0.109,0.0,1.14,0.0
19,CDMX,Audio,0.0,0.133,0.174,0.0,-0.41,0.0
21,CDMX,Audio,0.0,0.133,0.196,0.0,-0.61,0.0
221,Guadalajara,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
223,Guadalajara,TAM,0.0,0.067,0.109,0.0,-0.52,0.0
225,CDMX,TAM,0.0,0.133,0.13,0.0,0.03,0.0
263,Monterrey,TAM,0.0,0.2,0.109,0.0,1.14,0.0
265,Monterrey,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
267,Guadalajara,TAM,0.0,0.067,0.065,0.0,0.02,0.0
269,CDMX,TAM,0.0,0.0,0.109,0.0,-1.35,0.0
271,Monterrey,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
125,Tijuana,Audio,0.0,0.0,0.022,0.0,-0.58,0.0
126,Puebla,TAM,0.0,0.2,0.109,0.0,1.14,0.0
127,CDMX,TAM,0.0,0.133,0.152,0.0,-0.2,0.0
130,Tijuana,TAM,0.0,0.133,0.065,0.0,1.07,0.0
132,Monterrey,Audio,0.0,0.067,0.217,0.0,-1.42,0.0
112,Monterrey,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
113,Monterrey,Audio,0.0,0.0,0.0,0.0,0.0,0.0
114,CDMX,Audio,0.0,0.0,0.0,0.0,0.0,0.0
119,CDMX,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
121,Guadalajara,TAM,0.0,0.067,0.022,0.0,1.19,0.0
260,Guadalajara,Audio,0.0,0.067,0.043,0.0,0.44,0.0
104,Tijuana,TAM,0.0,0.133,0.065,0.0,1.07,0.0
105,CDMX,TAM,0.0,0.067,0.065,0.0,0.02,0.0
107,Monterrey,TAM,0.0,0.0,0.0,0.0,0.0,0.0
108,Guadalajara,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
110,Monterrey,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
111,Monterrey,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
312,Monterrey,TAM,0.0,0.2,0.152,0.0,0.52,0.0
314,Puebla,TAM,0.0,0.067,0.065,0.0,0.02,0.0
316,Puebla,Audio,0.0,0.0,0.065,0.0,-1.02,0.0
317,Monterrey,TAM,0.0,0.133,0.217,0.0,-0.79,0.0
319,Tijuana,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
320,Tijuana,Audio,0.0,0.133,0.109,0.0,0.31,0.0
304,Monterrey,Audio,0.0,0.0,0.13,0.0,-1.5,0.0
305,Monterrey,TAM,0.0,0.2,0.13,0.0,0.8,0.0
308,CDMX,Audio,0.0,0.0,0.065,0.0,-1.02,0.0
309,Monterrey,Audio,0.0,0.2,0.13,0.0,0.8,0.0
289,CDMX,TAM,0.0,0.067,0.065,0.0,0.02,0.0
293,CDMX,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
295,Monterrey,TAM,0.0,0.0,0.109,0.0,-1.35,0.0
298,Monterrey,Audio,0.0,0.067,0.087,0.0,-0.28,0.0
273,Guadalajara,TAM,0.0,0.133,0.174,0.0,-0.41,0.0
276,Guadalajara,TAM,0.0,0.067,0.174,0.0,-1.1,0.0
278,Monterrey,Audio,0.0,0.0,0.196,0.0,-1.91,0.0
279,Monterrey,Audio,0.0,0.133,0.087,0.0,0.64,0.0
280,Guadalajara,TAM,0.0,0.0,0.0,0.0,0.0,0.0
282,Guadalajara,Audio,0.0,0.0,0.087,0.0,-1.2,0.0
283,CDMX,Audio,0.0,0.0,0.152,0.0,-1.64,0.0
98,CDMX,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
99,Puebla,TAM,0.0,0.0,0.196,0.0,-1.91,0.0
328,Puebla,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
334,Tijuana,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
86,Guadalajara,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
87,Monterrey,TAM,0.0,0.067,0.043,0.0,0.44,0.0
92,Monterrey,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
38,Guadalajara,TAM,0.0,0.133,0.109,0.0,0.31,0.0
455,CDMX,Audio,0.0,0.2,0.152,0.0,0.52,0.0
456,Puebla,TAM,0.0,0.133,0.065,0.0,1.07,0.0
458,CDMX,Audio,0.0,0.0,0.087,0.0,-1.2,0.0
460,Guadalajara,Audio,0.0,0.133,0.109,0.0,0.31,0.0
82,Tijuana,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
81,Guadalajara,TAM,0.0,0.133,0.109,0.0,0.31,0.0
95,Puebla,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
94,Monterrey,TAM,0.0,0.067,0.13,0.0,-0.73,0.0
93,CDMX,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
83,Monterrey,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
321,CDMX,Audio,0.0,0.067,0.043,0.0,0.44,0.0
